tool;sol_version;analysis;type;subtype;name;insecure;error;ground_truth;filename
sailfish;v5;source code;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;ReentrantVulnerableEtherLossUserFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\FixedAddress\ReentrantVulnerableEtherLossUserFixedAddress.sol
sailfish;v5;source code;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;ReentrantVulnerableEtherLossUserDefinedAddress.sol;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\ReentrantVulnerableEtherLossUserDefinedAddress.sol
sailfish;v5;source code;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;ReentrantVulnerableNoEtherLossFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\ReentrantVulnerableNoEtherLossFixedAddress.sol
sailfish;v5;source code;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;ReentrantVulnerableNoEtherLossUserDefinedAddress.sol;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\ReentrantVulnerableNoEtherLossUserDefinedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;NonReentrant;NonReentrant.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\NonReentrant\NonReentrant.sol
sailfish;v6;source code;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;ReentrantCodePartsFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\FixedAddress\ReentrantCodePartsFixedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;ReentrantCodePartsUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\UserDefinedAddress\ReentrantCodePartsUserDefinedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;NonVulnerableFixedAddress;ReentrantNonVulnerableFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\FixedAddress\ReentrantNonVulnerableFixedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;ReentrantNonVulnerableUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\UserDefinedAddress\ReentrantNonVulnerableUserDefinedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;ReentrantVulnerableEtherLossUserFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\FixedAddress\ReentrantVulnerableEtherLossUserFixedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;ReentrantVulnerableEtherLossUserDefinedAddress.sol;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\ReentrantVulnerableEtherLossUserDefinedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;ReentrantVulnerableNoEtherLossFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\ReentrantVulnerableNoEtherLossFixedAddress.sol
sailfish;v6;source code;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;ReentrantVulnerableNoEtherLossUserDefinedAddress.sol;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\ReentrantVulnerableNoEtherLossUserDefinedAddress.sol
sailfish;v4;source code;CrossFunctionReentrancy;NonReentrant;NonReentrant.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CrossFunctionReentrancy\v4\No\NonReentrant\NonReentrant.sol
sailfish;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;ReentrantCodePartsFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CrossFunctionReentrancy\v4\No\ReentrantCodeParts\FixedAddress\ReentrantCodePartsFixedAddress.sol
sailfish;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;ReentrantCodePartsUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CrossFunctionReentrancy\v4\No\ReentrantCodeParts\UserDefinedAddress\ReentrantCodePartsUserDefinedAddress.sol
